2026-05-22 02:39:07.198 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.337 s, sync=0.011 s, total=0.375 s; sync files=4, longest=0.004 s, average=0.003 s; distance=11 kB, estimate=1362 kB; lsn=0/1E8C3F8, redo lsn=0/1E8C3A0
2026-05-22 02:44:06.215 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 02:44:07.050 +03 [24168] LOG:  checkpoint complete: wrote 7 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.789 s, sync=0.020 s, total=0.837 s; sync files=7, longest=0.004 s, average=0.003 s; distance=31 kB, estimate=1229 kB; lsn=0/1E942F0, redo lsn=0/1E94298
2026-05-22 02:59:06.078 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 02:59:06.541 +03 [24168] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.435 s, sync=0.011 s, total=0.465 s; sync files=5, longest=0.003 s, average=0.003 s; distance=16 kB, estimate=1108 kB; lsn=0/1E983B0, redo lsn=0/1E98358
2026-05-22 03:14:06.572 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 03:14:06.995 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.359 s, sync=0.017 s, total=0.427 s; sync files=4, longest=0.008 s, average=0.005 s; distance=12 kB, estimate=998 kB; lsn=0/1E9B548, redo lsn=0/1E9B4F0
2026-05-22 03:29:07.033 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 03:29:07.448 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.328 s, sync=0.041 s, total=0.420 s; sync files=4, longest=0.029 s, average=0.011 s; distance=12 kB, estimate=899 kB; lsn=0/1E9E7E8, redo lsn=0/1E9E790
2026-05-22 03:34:07.462 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 03:34:07.837 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.342 s, sync=0.012 s, total=0.376 s; sync files=4, longest=0.005 s, average=0.003 s; distance=13 kB, estimate=811 kB; lsn=0/1EA1DA8, redo lsn=0/1EA1D50
2026-05-22 03:39:07.851 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 03:39:08.205 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.325 s, sync=0.010 s, total=0.354 s; sync files=4, longest=0.003 s, average=0.003 s; distance=13 kB, estimate=731 kB; lsn=0/1EA5338, redo lsn=0/1EA52E0
2026-05-22 03:49:07.354 +03 [24168] LOG:  checkpoint starting: time
