
> enterprise-auth-backend@1.0.0 dev
> nodemon --exec "ts-node --transpile-only" src/server.ts

[33m[nodemon] 3.1.11[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): src\**\* prisma\**\*[39m
[33m[nodemon] watching extensions: ts,json[39m
[32m[nodemon] starting `ts-node --transpile-only src/server.ts`[39m
🚀 Server running on port 5000
📱 Environment: development
[Scheduler] Auto-complete scheduler started (runs every minute)
[Cron] Session reminder job registered (every 30 min).
[Announcement-Scheduler] Worker started (every 60 seconds)
[2026-06-02T16:33:06.487Z] GET /api/public/categories
[2026-06-02T16:33:06.488Z] GET /api/public/stats
[2026-06-02T16:33:06.490Z] GET /api/public/featured-courses
[2026-06-02T16:33:15.825Z] OPTIONS /api/auth/login
[2026-06-02T16:33:15.830Z] POST /api/auth/login
[2026-06-02T16:33:16.076Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:33:16.077Z] GET /uploads/LOGONEW-1779540908772-313480976.png
[2026-06-02T16:33:16.079Z] GET /api/notifications/unread-count
[2026-06-02T16:33:16.488Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:33:16.492Z] OPTIONS /api/trainer/dashboard
[2026-06-02T16:33:16.496Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:33:16.498Z] OPTIONS /api/trainer/dashboard
[2026-06-02T16:33:16.502Z] GET /api/trainer/enrollments
[2026-06-02T16:33:16.507Z] GET /api/trainer/dashboard
[2026-06-02T16:33:16.529Z] GET /api/trainer/enrollments
[2026-06-02T16:33:16.558Z] GET /api/trainer/dashboard
[2026-06-02T16:33:19.054Z] OPTIONS /api/trainer/students
[2026-06-02T16:33:19.056Z] OPTIONS /api/trainer/students
[2026-06-02T16:33:19.058Z] GET /api/trainer/enrollments
[2026-06-02T16:33:19.062Z] GET /api/trainer/students
[2026-06-02T16:33:19.077Z] GET /api/trainer/enrollments
[2026-06-02T16:33:19.091Z] GET /api/trainer/students
[2026-06-02T16:33:19.094Z] GET /api/trainer/enrollments
[2026-06-02T16:33:19.129Z] GET /uploads/Webp.net-resizeimage_2-1779743050010-613101422.jpg
[2026-06-02T16:33:28.398Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:33:28.408Z] OPTIONS /api/trainer/courses
[2026-06-02T16:33:28.411Z] OPTIONS /api/trainer/courses
[2026-06-02T16:33:28.413Z] GET /api/trainer/enrollments
[2026-06-02T16:33:28.421Z] GET /api/trainer/courses
[2026-06-02T16:33:28.438Z] GET /api/trainer/courses
[2026-06-02T16:33:28.494Z] GET /uploads/ChatGPT%20Image%20May%2010,%202026,%2002_18_26%20AM-1780274128206-852164338.png
[2026-06-02T16:33:28.495Z] GET /uploads/ChatGPT%20Image%2016%20%C3%99%C2%85%C3%98%C2%A7%C3%99%C2%8A%C3%99%C2%88%202026%C3%98%C2%8C%2003_57_12%20%C3%98%C2%B5-1780259728500-23728819.png
[2026-06-02T16:33:28.497Z] GET /uploads/134051042116388395-1779402027988-142589.jpg
[2026-06-02T16:33:28.497Z] GET /uploads/134051042116388395-1779402018739-144267436.jpg
[2026-06-02T16:33:28.498Z] GET /uploads/134051042116388395-1779401802114-227957321.jpg
[2026-06-02T16:33:28.499Z] GET /uploads/ChatGPT%20Image%20May%2010,%202026,%2005_25_29%20AM-1779492818866-150938748.png
[2026-06-02T16:33:28.526Z] GET /uploads/AAAAA-1779488468358-348722616.png
[2026-06-02T16:33:46.082Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:33:46.098Z] GET /api/notifications/unread-count
[2026-06-02T16:33:59.213Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:33:59.216Z] GET /api/trainer/enrollments
[2026-06-02T16:34:16.219Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:34:16.222Z] GET /api/notifications/unread-count
[2026-06-02T16:34:29.218Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:34:29.221Z] GET /api/trainer/enrollments
[2026-06-02T16:34:46.217Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:34:46.221Z] GET /api/notifications/unread-count
[2026-06-02T16:34:59.208Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:34:59.212Z] GET /api/trainer/enrollments
[2026-06-02T16:35:16.216Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:35:16.220Z] GET /api/notifications/unread-count
[2026-06-02T16:35:29.211Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:35:29.213Z] GET /api/trainer/enrollments
[2026-06-02T16:35:46.213Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:35:46.215Z] GET /api/notifications/unread-count
[2026-06-02T16:35:59.214Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:35:59.216Z] GET /api/trainer/enrollments
[2026-06-02T16:36:16.207Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:36:16.216Z] GET /api/notifications/unread-count
[2026-06-02T16:36:29.207Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:36:29.210Z] GET /api/trainer/enrollments
