2026-05-30 16:02:13.730 +03 [14340] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.436 s, sync=0.026 s, total=0.481 s; sync files=5, longest=0.014 s, average=0.006 s; distance=22 kB, estimate=22 kB; lsn=0/264FA48, redo lsn=0/264F9F0
2026-05-30 16:07:13.733 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 16:07:14.753 +03 [14340] LOG:  checkpoint complete: wrote 9 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.979 s, sync=0.023 s, total=1.022 s; sync files=10, longest=0.003 s, average=0.003 s; distance=41 kB, estimate=41 kB; lsn=0/2659F10, redo lsn=0/2659E80
2026-05-30 16:22:13.765 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 16:22:14.501 +03 [14340] LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.659 s, sync=0.030 s, total=0.736 s; sync files=7, longest=0.013 s, average=0.005 s; distance=31 kB, estimate=40 kB; lsn=0/2661D30, redo lsn=0/2661CD8
2026-05-30 16:32:13.509 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 16:32:13.883 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.326 s, sync=0.013 s, total=0.374 s; sync files=4, longest=0.005 s, average=0.004 s; distance=14 kB, estimate=37 kB; lsn=0/26656C0, redo lsn=0/2665668
2026-05-30 16:37:13.890 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 16:37:15.264 +03 [14340] LOG:  checkpoint complete: wrote 12 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.302 s, sync=0.037 s, total=1.374 s; sync files=9, longest=0.017 s, average=0.005 s; distance=78 kB, estimate=78 kB; lsn=0/2678EC8, redo lsn=0/2678E70
2026-05-30 16:47:13.286 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 16:47:13.984 +03 [14340] LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.654 s, sync=0.016 s, total=0.703 s; sync files=6, longest=0.004 s, average=0.003 s; distance=26 kB, estimate=72 kB; lsn=0/267F8E0, redo lsn=0/267F888
2026-05-30 16:52:13.988 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 16:52:14.348 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.326 s, sync=0.012 s, total=0.361 s; sync files=4, longest=0.004 s, average=0.003 s; distance=10 kB, estimate=66 kB; lsn=0/26824D8, redo lsn=0/2682480
2026-05-30 17:02:13.373 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 17:02:13.955 +03 [14340] LOG:  checkpoint complete: wrote 5 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.545 s, sync=0.017 s, total=0.583 s; sync files=6, longest=0.004 s, average=0.003 s; distance=24 kB, estimate=62 kB; lsn=0/26886D0, redo lsn=0/2688678
2026-05-30 17:07:13.967 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 17:07:14.358 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.338 s, sync=0.009 s, total=0.392 s; sync files=4, longest=0.004 s, average=0.003 s; distance=11 kB, estimate=57 kB; lsn=0/268B498, redo lsn=0/268B440
2026-05-30 17:17:13.379 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 17:17:13.754 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.329 s, sync=0.012 s, total=0.376 s; sync files=4, longest=0.005 s, average=0.003 s; distance=11 kB, estimate=52 kB; lsn=0/268E368, redo lsn=0/268E310
2026-05-30 17:22:13.766 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 17:22:14.174 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.332 s, sync=0.009 s, total=0.407 s; sync files=4, longest=0.003 s, average=0.003 s; distance=11 kB, estimate=48 kB; lsn=0/2691318, redo lsn=0/26912C0
2026-05-30 17:32:13.178 +03 [14340] LOG:  checkpoint starting: time
