2026-05-25 21:32:52.497 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.333 s, sync=0.009 s, total=0.374 s; sync files=4, longest=0.005 s, average=0.003 s; distance=9 kB, estimate=48 kB; lsn=0/22C3B38, redo lsn=0/22C3AE0
2026-05-25 21:37:52.509 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 21:37:52.879 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.331 s, sync=0.022 s, total=0.371 s; sync files=4, longest=0.016 s, average=0.006 s; distance=10 kB, estimate=44 kB; lsn=0/22C6420, redo lsn=0/22C63C8
2026-05-25 21:52:52.892 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 21:52:53.265 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.330 s, sync=0.012 s, total=0.374 s; sync files=4, longest=0.005 s, average=0.003 s; distance=10 kB, estimate=41 kB; lsn=0/22C8DE0, redo lsn=0/22C8D88
2026-05-25 22:07:52.281 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 22:07:52.654 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.334 s, sync=0.009 s, total=0.373 s; sync files=4, longest=0.003 s, average=0.003 s; distance=10 kB, estimate=38 kB; lsn=0/22CB898, redo lsn=0/22CB840
2026-05-25 22:22:52.669 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 22:22:53.023 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.323 s, sync=0.012 s, total=0.358 s; sync files=4, longest=0.004 s, average=0.003 s; distance=10 kB, estimate=35 kB; lsn=0/22CE458, redo lsn=0/22CE400
2026-05-25 23:43:36.480 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 23:43:36.957 +03 [16804] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.446 s, sync=0.009 s, total=0.478 s; sync files=5, longest=0.003 s, average=0.002 s; distance=15 kB, estimate=33 kB; lsn=0/22D2078, redo lsn=0/22D2020
2026-05-25 23:48:36.973 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 23:48:37.345 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.330 s, sync=0.011 s, total=0.374 s; sync files=4, longest=0.003 s, average=0.003 s; distance=11 kB, estimate=31 kB; lsn=0/22D5030, redo lsn=0/22D4FD8
2026-05-25 23:53:36.348 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 23:53:36.717 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.328 s, sync=0.010 s, total=0.370 s; sync files=4, longest=0.003 s, average=0.003 s; distance=12 kB, estimate=29 kB; lsn=0/22D80B8, redo lsn=0/22D8060
2026-05-25 23:58:36.732 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 23:58:37.116 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.331 s, sync=0.009 s, total=0.389 s; sync files=4, longest=0.003 s, average=0.003 s; distance=12 kB, estimate=27 kB; lsn=0/22DB458, redo lsn=0/22DB400
2026-05-26 00:03:36.125 +03 [16804] LOG:  checkpoint starting: time
2026-05-26 00:03:36.482 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.326 s, sync=0.011 s, total=0.358 s; sync files=4, longest=0.003 s, average=0.003 s; distance=13 kB, estimate=26 kB; lsn=0/22DE9F8, redo lsn=0/22DE9A0
2026-05-26 00:08:36.494 +03 [16804] LOG:  checkpoint starting: time
